NAMESPACE     LAST SEEN   TYPE      REASON                            OBJECT                                        MESSAGE
bookstore     24m         Warning   FailedToRetrieveImagePullSecret   pod/cartservice-6c6bd49458-6l84m              Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     29m         Warning   FailedScheduling                  pod/cartservice-6c6bd49458-v88fz              0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     24m         Normal    NotTriggerScaleUp                 pod/cartservice-6c6bd49458-v88fz              pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     24m         Warning   FailedScheduling                  pod/cartservice-6c6bd49458-v88fz              0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     28m         Normal    TriggeredScaleUp                  pod/cartservice-6c6bd49458-v88fz              pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     27m         Warning   FailedScaleUp                     pod/cartservice-6c6bd49458-v88fz              Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     24m         Warning   FailedScheduling                  pod/cartservice-6c6bd49458-v88fz              skip schedule deleting pod: bookstore/cartservice-6c6bd49458-v88fz
bookstore     29m         Normal    SuccessfulCreate                  replicaset/cartservice-6c6bd49458             Created pod: cartservice-6c6bd49458-v88fz
bookstore     24m         Normal    SuccessfulDelete                  replicaset/cartservice-6c6bd49458             Deleted pod: cartservice-6c6bd49458-v88fz
bookstore     20m         Normal    SuccessfulDelete                  replicaset/cartservice-6c6bd49458             Deleted pod: cartservice-6c6bd49458-6l84m
bookstore     19m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-95tcq               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     14m         Normal    NotTriggerScaleUp                 pod/cartservice-89b8655b5-95tcq               pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-95tcq               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/cartservice-89b8655b5-95tcq               pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/cartservice-89b8655b5-95tcq               Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     13m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-95tcq               skip schedule deleting pod: bookstore/cartservice-89b8655b5-95tcq
bookstore     19m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-s9h6c               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     14m         Normal    NotTriggerScaleUp                 pod/cartservice-89b8655b5-s9h6c               pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-s9h6c               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/cartservice-89b8655b5-s9h6c               pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/cartservice-89b8655b5-s9h6c               Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     13m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-s9h6c               skip schedule deleting pod: bookstore/cartservice-89b8655b5-s9h6c
bookstore     19m         Normal    Scheduled                         pod/cartservice-89b8655b5-t2m6r               Successfully assigned bookstore/cartservice-89b8655b5-t2m6r to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     13m         Warning   FailedToRetrieveImagePullSecret   pod/cartservice-89b8655b5-t2m6r               Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     19m         Normal    Pulling                           pod/cartservice-89b8655b5-t2m6r               Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service"
bookstore     19m         Normal    Pulled                            pod/cartservice-89b8655b5-t2m6r               Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service" in 1.186s (1.186s including waiting). Image size: 122109858 bytes.
bookstore     19m         Normal    Created                           pod/cartservice-89b8655b5-t2m6r               Created container cartservice
bookstore     19m         Normal    Started                           pod/cartservice-89b8655b5-t2m6r               Started container cartservice
bookstore     13m         Normal    Killing                           pod/cartservice-89b8655b5-t2m6r               Stopping container cartservice
bookstore     19m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-tfz2x               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     14m         Normal    NotTriggerScaleUp                 pod/cartservice-89b8655b5-tfz2x               pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-tfz2x               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/cartservice-89b8655b5-tfz2x               pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/cartservice-89b8655b5-tfz2x               Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     13m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-tfz2x               skip schedule deleting pod: bookstore/cartservice-89b8655b5-tfz2x
bookstore     19m         Normal    Scheduled                         pod/cartservice-89b8655b5-tr58z               Successfully assigned bookstore/cartservice-89b8655b5-tr58z to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     13m         Warning   FailedToRetrieveImagePullSecret   pod/cartservice-89b8655b5-tr58z               Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     19m         Normal    Pulling                           pod/cartservice-89b8655b5-tr58z               Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service"
bookstore     19m         Normal    Pulled                            pod/cartservice-89b8655b5-tr58z               Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service" in 1.369s (1.369s including waiting). Image size: 122109858 bytes.
bookstore     19m         Normal    Created                           pod/cartservice-89b8655b5-tr58z               Created container cartservice
bookstore     19m         Normal    Started                           pod/cartservice-89b8655b5-tr58z               Started container cartservice
bookstore     13m         Normal    Killing                           pod/cartservice-89b8655b5-tr58z               Stopping container cartservice
bookstore     19m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-txxl6               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     14m         Normal    NotTriggerScaleUp                 pod/cartservice-89b8655b5-txxl6               pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-txxl6               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/cartservice-89b8655b5-txxl6               pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/cartservice-89b8655b5-txxl6               Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
bookstore     13m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-txxl6               skip schedule deleting pod: bookstore/cartservice-89b8655b5-txxl6
bookstore     22m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-vlfml               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     22m         Normal    NotTriggerScaleUp                 pod/cartservice-89b8655b5-vlfml               pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     22m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-vlfml               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     20m         Normal    Scheduled                         pod/cartservice-89b8655b5-vlfml               Successfully assigned bookstore/cartservice-89b8655b5-vlfml to gke-bookstore-cluster-node-pool-90feec76-6080
bookstore     2m16s       Warning   FailedToRetrieveImagePullSecret   pod/cartservice-89b8655b5-vlfml               Unable to retrieve some image pull secrets (regcred); attempting to pull the image may not succeed.
bookstore     20m         Normal    Pulling                           pod/cartservice-89b8655b5-vlfml               Pulling image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service"
bookstore     20m         Normal    Pulled                            pod/cartservice-89b8655b5-vlfml               Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service" in 5.868s (5.868s including waiting). Image size: 122109858 bytes.
bookstore     20m         Normal    Created                           pod/cartservice-89b8655b5-vlfml               Created container cartservice
bookstore     20m         Normal    Started                           pod/cartservice-89b8655b5-vlfml               Started container cartservice
bookstore     20m         Normal    Pulled                            pod/cartservice-89b8655b5-vlfml               Successfully pulled image "gcr.io/PROJECT_ID_PLACEHOLDER/cart-service" in 1.26s (1.26s including waiting). Image size: 122109858 bytes.
bookstore     19m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-wftpn               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     14m         Normal    NotTriggerScaleUp                 pod/cartservice-89b8655b5-wftpn               pod didn't trigger scale-up: 1 in backoff after failed scale-up
bookstore     14m         Warning   FailedScheduling                  pod/cartservice-89b8655b5-wftpn               0/3 nodes are available: 3 Insufficient cpu. preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
bookstore     17m         Normal    TriggeredScaleUp                  pod/cartservice-89b8655b5-wftpn               pod triggered scale-up: [{https://www.googleapis.com/compute/v1/projects/PROJECT_ID_PLACEHOLDER/zones/ZONE_PLACEHOLDER/instanceGroups/gke-bookstore-cluster-node-pool-90feec76-grp 3->4 (max: 5)}]
bookstore     17m         Warning   FailedScaleUp                     pod/cartservice-89b8655b5-wftpn               Node scale up in zones ZONE_PLACEHOLDER associated with this pod failed: GCE quota exceeded. Pod is at risk of not being scheduled.
